run,indices,signs,results
58,"[13, 2476, 3747, 8555, 4967, 4041, 4133, 1251, 325, 539]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633360491, 0.9940141574429007, 0.9928093447124053, 0.9859840705897309, 0.9627531793700977, 0.9440000538293182, 0.9094145792370003, 0.900790205642057, 0.8520265145243526, 0.8192845031055436]"
59,"[6405, 1132, 1982, 7116, 7481, 7691, 8043, 7671, 6228, 663]","[1, 1, 1, -1, 1, 1, 1, -1, 1, -1]","[1.0, 0.9970151761844335, 0.982044426042286, 0.9751428043510437, 0.029435234090812334, 0.030670302370443325, 0.055412303266466345, 0.07137211531390403, 0.08792203866342435, 0.12650277996602033, 0.8039547712986975]"
60,"[4869, 5354, 8551, 7874, 4660, 4266, 5994, 7034, 5425, 9411]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975938133884878, 0.9850178634942017, 0.9508945764578989, 0.9068978012708557, 0.8653933838226169, 0.8398416204803278, 0.8141379791211572, 0.7903507922027999, 0.7251972823704294, 0.6482971826062899]"
61,"[4449, 7539, 2551, 6716, 4619, 5386, 2641, 3888, 5753, 5717]","[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9987961816680009, 0.996392978522182, 0.9879089787149744, 0.9592819925321321, 0.9352703192145652, 0.8982166036036655, 0.8494054124315084, 0.7998307469103771, 0.7963824906615029, 0.7274804853857519]"
62,"[3294, 2828, 4876, 7735, 3045, 7149, 8000, 6630, 6962, 1291]","[1, 1, -1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9982039644545002, 0.9899135939628163, 0.03020053876346873, 0.012882408601414097, 0.01914698321736874, 0.02396028682726964, 0.03833963537390661, 0.08542231794440452, 0.11668449083718085, 0.2063668470696048]"
63,"[3881, 1642, 6485, 615, 1859, 3095, 3640, 7070, 6136, 7199]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981838290472581, 0.9945330143917209, 0.989682660445018, 0.9822174858226265, 0.9596182908112654, 0.9489876501376521, 0.917366146570805, 0.8642126356186339, 0.8276251928690805, 0.8206163231965355]"
64,"[315, 9350, 9321, 7130, 9611, 6148, 986, 8648, 5596, 7818]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9772858776374266, 0.9676512318525672, 0.9347584912841118, 0.9202837112540866, 0.8881838649069732, 0.8510394285795942, 0.7433175249753002, 0.6736365450378405, 0.5986195883725072, 0.5694579108082447]"
65,"[1382, 3489, 2910, 5223, 5480, 6264, 1765, 3453, 3720, 6165]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874547020288844, 0.9820781708012116, 0.9646936930817516, 0.9231780186562359, 0.8895558747269033, 0.8529079001020845, 0.7791994290652864, 0.7070194187082705, 0.6786149021348864, 0.6523489473290242]"
66,"[2761, 1245, 3809, 9690, 1702, 8321, 6143, 9038, 6951, 9655]","[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]","[1.0, 0.982147350023673, 0.9763355825813453, 0.9447396279135587, 0.8929062968483847, 0.8834751926970195, 0.8549639686228228, 0.8485974584691913, 0.8361549005310651, 0.7641373442722499, 0.7401381484773857]"
67,"[1039, 383, 8497, 2997, 6088, 8761, 5790, 4161, 4859, 5311]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922369732569911, 0.9845381179668509, 0.9431919345876457, 0.9062313837763285, 0.878382260880814, 0.8323747455295254, 0.8293675516542505, 0.8244057627564347, 0.7874528139840906, 0.7056341787181466]"
68,"[1365, 1228, 4980, 9758, 9995, 9525, 5057, 1766, 2346, 8655]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9733057255440003, 0.9530862053339189, 0.9325263883721908, 0.9384190051608711, 0.9092863113685148, 0.8814720679503236, 0.8559971558583359, 0.840954020609842, 0.7980410619827469, 0.7477031221625261]"
69,"[6809, 7938, 6599, 2753, 5715, 5874, 5266, 1683, 9099, 2906]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945700928780801, 0.9894921495694277, 0.9823854343038931, 0.9722102287005115, 0.928719756912175, 0.9115885256670222, 0.8723029730506315, 0.8570935689853512, 0.8291808253814683, 0.8167771269954083]"
70,"[4549, 1098, 6541, 3367, 5674, 1558, 6301, 8068, 5359, 7356]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9886975210745796, 0.9618443509325394, 0.9558383178420244, 0.8620121815249044, 0.8127915898647684, 0.7542026707234335, 0.6659173130790828, 0.665609084165756, 0.6713035340683302, 0.6532814370376423]"
71,"[4048, 7750, 1337, 7286, 8588, 1765, 4400, 9788, 8440, 9181]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964345435926333, 0.9904773099170268, 0.9567439220385804, 0.8967359466424035, 0.8320689196047395, 0.7371432164826592, 0.6965887293765387, 0.6254997115962143, 0.5599025613883797, 0.4353981773343354]"
72,"[2010, 5965, 8721, 5952, 2067, 1394, 2165, 219, 5362, 9438]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897976045981439, 0.9846869128235253, 0.9483461924704695, 0.9338826907392682, 0.8812889732073604, 0.8598681525787695, 0.7872190310555008, 0.7456735454682951, 0.7093218541704427, 0.6941082774680553]"
73,"[9618, 6479, 609, 9750, 3552, 1174, 971, 7941, 5160, 6154]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.992189643652786, 0.9688094948249466, 0.9474717820835628, 0.9124909213268549, 0.8806896106629432, 0.8543801175289659, 0.7851239700341615, 0.7732532346058503, 0.688623346893407, 0.6480270104092123]"
